name,N,sd size,depth,minimal trapspaces,attractors,motif-avoidant-attractors
n1280_45,1280,12,3,4,4,0
n1280_46,1280,5,2,2,2,0
n1280_47,1280,7,2,4,4,0
n1280_48,1280,85,7,7,7,0
n1280_49,1280,25,5,4,4,0
n1280_5,1280,3,1,2,2,0
n1280_50,1280,6,2,2,2,0
n1280_51,1280,1,0,1,1,0
n1280_52,1280,3,1,2,2,0
n1280_53,1280,3,1,2,2,0
n1280_54,1280,9,2,4,4,0
n1280_55,1280,110,6,12,12,0
n1280_56,1280,4,2,2,2,0
n1280_57,1280,10,4,2,2,0
n1280_58,1280,3,1,2,2,0
n1280_59,1280,34,5,4,4,0
n1280_6,1280,2,1,1,1,0
n1280_60,1280,3,1,2,2,0
n1280_61,1280,3,2,1,1,0
n1280_62,1280,3,1,2,2,0
n1280_63,1280,3,1,2,2,0
n1280_64,1280,1,0,1,1,0
n1280_65,1280,19,3,8,8,0
n1280_66,1280,4,2,2,2,0
n1280_67,1280,9,3,4,4,0
n1280_68,1280,1,0,1,1,0
n1280_69,1280,93,6,12,12,0
n1280_7,1280,7,3,2,2,0
n1280_70,1280,1,0,1,1,0
n1280_71,1280,12,3,4,4,0
n1280_72,1280,12,3,4,4,0
n1280_73,1280,37,4,8,8,0
n1280_74,1280,9,2,4,4,0
n1280_75,1280,6,2,2,2,0
n1280_76,1280,5,2,2,2,0
n1280_77,1280,15,3,4,4,0
n1280_78,1280,1,0,1,1,0
n1280_79,1280,15,3,5,5,0
n1280_8,1280,18,3,6,6,0
n1280_80,1280,31,4,8,8,0
n1280_81,1280,17,4,4,4,0
n1280_82,1280,3,2,1,1,0
n1280_83,1280,11,4,2,2,0
n1280_84,1280,4,2,1,1,0
n1280_85,1280,12,4,2,2,0
n1280_86,1280,6,2,2,2,0
n1280_87,1280,1,0,1,1,0
n1280_88,1280,12,3,4,4,0
n1280_89,1280,18,3,4,4,0
n1280_9,1280,9,2,4,4,0
n1280_90,1280,3,2,1,1,0
n1280_91,1280,3,2,1,1,0
n1280_92,1280,1,0,1,1,0
n1280_93,1280,3,2,1,1,0
n1280_94,1280,3,1,2,2,0
n1280_95,1280,3,1,2,2,0
n1280_96,1280,27,4,8,8,0
n1280_97,1280,6,2,2,2,0
n1280_98,1280,8,3,4,4,0
n1280_99,1280,3,1,2,2,0
n160_0,160,1,0,1,1,0
n160_1,160,18,3,6,6,0
n160_10,160,24,3,8,8,0
n160_11,160,6,3,3,3,0
n160_12,160,2,1,1,1,0
n160_13,160,1,0,1,1,0
n160_14,160,7,3,3,3,0
n160_15,160,7,2,4,4,0
n160_16,160,4,2,2,2,0
n160_17,160,2,1,1,1,0
n160_18,160,7,3,2,2,0
n160_19,160,1,0,1,1,0
n160_2,160,3,2,1,1,0
n160_20,160,7,3,2,2,0
n160_21,160,3,1,2,2,0
n160_22,160,1,0,1,1,0
n160_23,160,3,1,2,2,0
n160_24,160,3,1,2,2,0
n160_25,160,3,2,1,1,0
n160_26,160,6,2,2,2,0
n160_27,160,2,1,1,1,0
n160_28,160,42,5,6,6,0
n160_29,160,1,0,1,1,0
n160_3,160,1,0,1,1,0
n160_30,160,7,2,4,4,0
n160_31,160,7,3,2,2,0
n160_32,160,1,0,1,1,0
n160_33,160,1,0,1,1,0
n160_34,160,19,4,6,6,0
n160_35,160,9,2,4,4,0
n160_36,160,23,5,4,4,0
n160_37,160,2,1,1,1,0
n160_38,160,7,2,4,4,0
n160_39,160,45,5,12,12,0
n160_4,160,3,1,2,2,0
n160_40,160,15,4,6,6,0
n160_41,160,1,0,1,1,0
n160_42,160,2,1,1,1,0
n160_43,160,3,1,2,2,0
n160_44,160,3,1,2,2,0
n160_45,160,3,1,2,2,0
n160_46,160,1,0,1,1,0
n160_47,160,5,2,2,2,0
n160_48,160,3,1,2,2,0
n160_49,160,18,3,4,4,0
n160_5,160,1,0,1,1,0
n160_50,160,5,2,2,2,0
n160_51,160,1,0,1,1,0
n160_52,160,4,2,2,2,0
n160_53,160,9,2,4,4,0
n160_54,160,3,2,1,1,0
n160_55,160,18,4,3,3,0
n160_56,160,3,1,2,2,0
n160_57,160,1,0,1,1,0
n160_58,160,30,5,9,9,0
n160_59,160,15,3,4,4,0
n160_6,160,14,5,3,3,0
n160_60,160,3,2,1,1,0
n160_61,160,3,1,2,2,0
n160_62,160,42,4,10,10,0
n160_63,160,10,3,2,2,0
n160_64,160,3,1,2,2,0
n160_65,160,3,1,2,2,0
n160_66,160,9,2,4,4,0
n160_67,160,3,1,2,2,0
n160_68,160,25,4,10,10,0
n160_69,160,2,1,1,1,0
n160_7,160,1,0,1,1,0
n160_70,160,9,3,3,3,0
n160_71,160,24,4,7,7,0
n160_72,160,17,4,4,4,0
n160_73,160,7,3,3,3,0
n160_74,160,7,3,2,2,0
n160_75,160,3,1,2,2,0
n160_76,160,2,1,1,1,0
n160_77,160,9,3,4,4,0
n160_78,160,7,3,3,3,0
n160_79,160,3,1,2,2,0
n160_8,160,3,1,2,2,0
n160_80,160,2,1,1,1,0
n160_81,160,9,2,4,4,0
n160_82,160,12,3,2,2,0
n160_83,160,5,2,3,3,0
n160_84,160,10,3,4,4,0
n160_85,160,1,0,1,1,0
n160_86,160,3,1,2,2,0
n160_87,160,9,2,4,4,0
n160_88,160,19,3,8,8,0
n160_89,160,9,3,2,2,0
n160_9,160,4,2,2,2,0
n160_90,160,15,3,4,4,0
n160_91,160,1,0,1,1,0
n160_92,160,9,2,4,4,0
n160_93,160,9,3,2,2,0
n160_94,160,9,3,3,3,0
n160_95,160,1,0,1,1,0
n160_96,160,1,0,1,1,0
n160_97,160,3,1,2,2,0
n160_98,160,18,4,4,4,0
n160_99,160,25,4,4,4,0
n20_0,20,14,3,6,6,0
n20_1,20,2,1,1,1,0
n20_10,20,2,1,1,1,0
n20_11,20,1,0,1,1,0
n20_12,20,2,1,1,1,0
n20_13,20,27,3,8,8,0
n20_14,20,3,1,2,2,0
n20_15,20,1,0,1,1,0
n20_16,20,1,0,1,1,0
n20_17,20,2,1,1,1,0
n20_18,20,1,0,1,1,0
n20_19,20,2,1,1,1,0
n20_2,20,1,0,1,1,0
n20_20,20,2,1,1,1,0
n20_21,20,6,2,2,2,0
n20_22,20,1,0,1,1,0
n20_23,20,4,2,2,2,0
n20_24,20,1,0,1,1,0
n20_25,20,2,1,1,1,0
n20_26,20,1,0,1,1,0
n20_27,20,1,0,1,1,0
n20_28,20,2,1,1,1,0
n20_29,20,25,4,6,6,0
n20_3,20,6,2,2,2,0
n20_30,20,5,2,3,3,0
n20_31,20,2,1,1,1,0
n20_32,20,27,4,8,8,0
n20_33,20,3,1,2,2,0
n20_34,20,4,2,1,1,0
n20_35,20,4,2,2,2,0
n20_36,20,6,3,2,2,0
n20_37,20,3,1,2,2,0
n20_38,20,2,1,1,1,0
n20_39,20,3,1,2,2,0
n20_4,20,2,1,1,1,0
n20_40,20,19,4,4,4,0
n20_41,20,1,0,1,1,0
n20_42,20,14,3,6,6,0
n20_43,20,7,3,2,2,0
n20_44,20,2,1,1,1,0
n20_45,20,19,3,8,8,0
n20_46,20,5,2,3,3,0
n20_47,20,5,2,2,2,0
n20_48,20,5,2,2,2,0
n20_49,20,25,3,12,12,0
n20_5,20,8,3,3,3,0
n20_50,20,3,1,2,2,0
n20_51,20,5,2,2,2,0
n20_52,20,27,3,8,8,0
n20_53,20,13,3,4,4,0
n20_54,20,14,3,5,5,0
n20_55,20,5,2,2,2,0
n20_56,20,7,2,3,3,0
n20_57,20,4,2,2,2,0
n20_58,20,4,2,1,1,0
n20_59,20,5,2,2,2,0
n20_6,20,5,2,2,2,0
n20_60,20,21,4,10,10,0
n20_61,20,2,1,1,1,0
n20_62,20,14,4,6,6,0
n20_63,20,3,1,2,2,0
n20_64,20,1,0,1,1,0
n20_65,20,9,2,4,4,0
n20_66,20,3,1,2,2,0
n20_67,20,1,0,1,1,0
n20_68,20,1,0,1,1,0
n20_69,20,2,1,1,1,0
n20_7,20,3,1,2,2,0
n20_70,20,1,0,1,1,0
n20_71,20,8,2,4,4,0
n20_72,20,1,0,1,1,0
n20_73,20,1,0,1,1,0
n20_74,20,3,2,1,1,0
n20_75,20,3,2,1,1,0
n20_76,20,1,0,1,1,0
n20_77,20,3,1,2,2,0
n20_78,20,3,1,2,2,0
n20_79,20,14,3,5,5,0
n20_8,20,8,3,4,4,0
n20_80,20,1,0,1,1,0
n20_81,20,2,1,1,1,0
n20_82,20,4,2,2,2,0
n20_83,20,3,1,2,2,0
n20_84,20,4,2,2,2,0
n20_85,20,2,1,1,1,0
n20_86,20,5,2,2,2,0
n20_87,20,1,0,1,1,0
n20_88,20,2,1,1,1,0
n20_89,20,2,1,1,1,0
n20_9,20,8,3,2,2,0
n20_90,20,5,2,2,2,0
n20_91,20,1,0,1,1,0
n20_92,20,3,2,1,1,0
n20_93,20,3,1,2,2,0
n20_94,20,2,1,1,1,0
n20_95,20,2,1,1,1,0
n20_96,20,2,1,1,1,0
n20_97,20,3,1,2,2,0
n20_98,20,12,3,5,5,0
n20_99,20,13,3,6,6,0
n2560_0,2560,1,0,1,1,0
n2560_1,2560,1,0,1,1,0
n2560_10,2560,3,1,2,2,0
n2560_11,2560,20,5,6,6,0
n2560_12,2560,12,3,4,4,0
n2560_13,2560,174,6,24,24,0
n2560_14,2560,36,4,4,4,0
n2560_15,2560,1,0,1,1,0
n2560_16,2560,9,3,2,2,0
n2560_17,2560,1,0,1,1,0
n2560_18,2560,2,1,1,1,0
n2560_19,2560,37,4,8,8,0
n2560_2,2560,21,4,4,4,0
n2560_20,2560,9,2,4,4,0
n2560_21,2560,20,4,5,5,0
n2560_22,2560,1,0,1,1,0
n2560_23,2560,19,3,8,8,0
n2560_24,2560,3,1,2,2,0
n2560_25,2560,4,2,1,1,0
n2560_26,2560,9,3,2,2,0
n2560_27,2560,93,8,10,10,0
n2560_28,2560,9,2,4,4,0
n2560_29,2560,39,4,8,8,0
n2560_3,2560,1,0,1,1,0
n2560_30,2560,1,0,1,1,0
n2560_31,2560,1,0,1,1,0
n2560_32,2560,2,1,1,1,0
n2560_33,2560,1,0,1,1,0
n2560_34,2560,5,2,2,2,0
n2560_35,2560,12,3,4,4,0
n2560_36,2560,3,1,2,2,0
n2560_37,2560,135,5,24,24,0
n2560_38,2560,2,1,1,1,0
n2560_39,2560,7,2,4,4,0
n2560_4,2560,16,4,8,8,0
n2560_40,2560,2,1,1,1,0
n2560_41,2560,18,3,4,4,0
n2560_42,2560,7,2,4,4,0
n2560_43,2560,6,2,2,2,0
n2560_44,2560,9,2,4,4,0
n2560_45,2560,2,1,1,1,0
n2560_46,2560,27,3,8,8,0
n2560_47,2560,12,3,4,4,0
n2560_48,2560,1,0,1,1,0
n2560_49,2560,9,2,4,4,0
n2560_5,2560,5,2,2,2,0
n2560_50,2560,9,2,4,4,0
n2560_51,2560,12,3,4,4,0
n2560_52,2560,4,2,1,1,0
n2560_53,2560,15,3,4,4,0
n2560_54,2560,27,3,8,8,0
n2560_55,2560,3,1,2,2,0
n2560_56,2560,9,2,4,4,0
n2560_57,2560,3,1,2,2,0
n2560_58,2560,3,1,2,2,0
n2560_59,2560,90,7,8,8,0
n2560_6,2560,12,3,2,2,0
n2560_60,2560,3,1,2,2,0
n2560_61,2560,9,3,2,2,0
n2560_62,2560,27,4,8,8,0
n2560_63,2560,1,0,1,1,0
n2560_64,2560,3,1,2,2,0
n2560_65,2560,6,2,2,2,0
n2560_66,2560,54,6,14,14,0
n2560_67,2560,12,3,5,5,0
n2560_68,2560,1,0,1,1,0
n2560_69,2560,3,1,2,2,0
n2560_7,2560,2,1,1,1,0
n2560_70,2560,6,2,2,2,0
n2560_71,2560,1,0,1,1,0
n2560_72,2560,21,3,6,6,0
n2560_73,2560,5,3,2,2,0
n2560_74,2560,3,1,2,2,0
n2560_75,2560,5,2,2,2,0
n2560_76,2560,27,4,6,6,0
n2560_77,2560,1,0,1,1,0
n2560_78,2560,4,2,1,1,0
n2560_79,2560,3,1,2,2,0
n2560_8,2560,6,2,3,3,0
n2560_80,2560,3,1,2,2,0
n2560_81,2560,9,2,4,4,0
n2560_82,2560,3,1,2,2,0
n2560_83,2560,6,2,2,2,0
n2560_84,2560,3,2,1,1,0
n2560_85,2560,209,7,34,,
n2560_86,2560,14,3,4,4,0
n2560_87,2560,11,3,6,6,0
n2560_88,2560,15,4,4,4,0
n2560_89,2560,7,3,2,2,0
n2560_9,2560,3,1,2,2,0
n2560_90,2560,24,4,2,2,0
n2560_91,2560,3,1,2,2,0
n2560_92,2560,6,2,2,2,0
n2560_93,2560,1,0,1,1,0
n2560_94,2560,127,6,16,16,0
n2560_95,2560,12,3,4,4,0
n2560_96,2560,3,1,2,2,0
n2560_97,2560,2,1,1,1,0
n2560_98,2560,3,1,2,2,0
n2560_99,2560,27,4,6,6,0
n320_0,320,4,2,2,2,0
n320_1,320,2,1,1,1,0
n320_10,320,9,3,2,2,0
n320_11,320,1,0,1,1,0
n320_12,320,5,2,2,2,0
n320_13,320,2,1,1,1,0
n320_14,320,2,1,1,1,0
n320_15,320,3,1,2,2,0
n320_16,320,1,0,1,1,0
n320_17,320,27,4,6,6,0
n320_18,320,3,1,2,2,0
n320_19,320,27,3,8,8,0
n320_2,320,7,3,2,2,0
n320_20,320,1,0,1,1,0
n320_21,320,3,1,2,2,0
n320_22,320,11,3,4,4,0
n320_23,320,3,2,1,1,0
n320_24,320,18,3,6,6,0
n320_25,320,2,1,1,1,0
n320_26,320,36,4,8,8,0
n320_27,320,1,0,1,1,0
n320_28,320,3,1,2,2,0
n320_29,320,4,3,1,1,0
n320_3,320,2,1,1,1,0
n320_30,320,9,2,4,4,0
n320_31,320,6,2,2,2,0
n320_32,320,3,1,2,2,0
n320_33,320,2,1,1,1,0
n320_34,320,3,1,2,2,0
n320_35,320,6,3,3,3,0
n320_36,320,18,3,4,4,0
n320_37,320,3,1,2,2,0
n320_38,320,7,3,4,4,0
n320_39,320,2,1,1,1,0
n320_4,320,7,3,2,2,0
n320_40,320,3,2,1,1,0
n320_41,320,5,2,2,2,0
n320_42,320,6,3,2,2,0
n320_43,320,3,1,2,2,0
n320_44,320,3,1,2,2,0
n320_45,320,4,2,1,1,0
n320_46,320,11,4,2,2,0
n320_47,320,9,2,4,4,0
n320_48,320,13,2,8,8,0
n320_49,320,1,0,1,1,0
n320_5,320,31,4,8,8,0
n320_50,320,4,2,2,2,0
n320_51,320,9,3,2,2,0
n320_52,320,1,0,1,1,0
n320_53,320,2,1,1,1,0
n320_54,320,12,3,4,4,0
n320_55,320,18,3,4,4,0
n320_56,320,3,1,2,2,0
n320_57,320,3,1,2,2,0
n320_58,320,1,0,1,1,0
n320_59,320,15,3,6,6,0
n320_6,320,2,1,1,1,0
n320_60,320,3,1,2,2,0
n320_61,320,3,1,2,2,0
n320_62,320,18,3,4,4,0
n320_63,320,7,2,4,4,0
n320_64,320,1,0,1,1,0
n320_65,320,3,1,2,2,0
n320_66,320,9,2,4,4,0
n320_67,320,8,3,2,2,0
n320_68,320,2,1,1,1,0
n320_69,320,3,1,2,2,0
n320_7,320,3,1,2,2,0
n320_70,320,4,2,2,2,0
n320_71,320,9,2,4,4,0
n320_72,320,1,0,1,1,0
n320_73,320,3,1,2,2,0
n320_74,320,4,2,1,1,0
n320_75,320,3,1,2,2,0
n320_76,320,1,0,1,1,0
n320_77,320,27,3,8,8,0
n320_78,320,13,4,2,2,0
n320_79,320,2,1,1,1,0
n320_8,320,1,0,1,1,0
n320_80,320,2,1,1,1,0
n320_81,320,1,0,1,1,0
n320_82,320,2,1,1,1,0
n320_83,320,7,4,1,1,0
n320_84,320,321,8,28,28,0
n320_85,320,4,2,2,2,0
n320_86,320,12,3,2,2,0
n320_87,320,2,1,1,1,0
n320_88,320,3,1,2,2,0
n320_89,320,27,3,8,8,0
n320_9,320,102,6,8,8,0
n320_90,320,1,0,1,1,0
n320_91,320,1,0,1,1,0
n320_92,320,1,0,1,1,0
n320_93,320,1,0,1,1,0
n320_94,320,4,2,2,2,0
n320_95,320,11,3,4,4,0
n320_96,320,9,2,5,5,0
n320_97,320,9,3,3,3,0
n320_98,320,11,4,3,3,0
n320_99,320,3,1,2,2,0
n40_0,40,1,0,1,1,0
n40_1,40,3,1,2,2,0
n40_10,40,6,2,3,3,0
n40_11,40,1,0,1,1,0
n40_12,40,4,2,2,2,0
n40_13,40,4,2,2,2,0
n40_14,40,2,1,1,1,0
n40_15,40,2,1,1,1,0
n40_16,40,3,1,2,2,0
n40_17,40,5,2,2,2,0
n40_18,40,18,3,4,4,0
n40_19,40,1,0,1,1,0
n40_2,40,1,0,1,1,0
n40_20,40,1,0,1,1,0
n40_21,40,1,0,1,1,0
n40_22,40,2,1,1,1,0
n40_23,40,2,1,1,1,0
n40_24,40,2,1,1,1,0
n40_25,40,3,2,1,1,0
n40_26,40,5,1,4,4,0
n40_27,40,1,0,1,1,0
n40_28,40,3,1,2,2,0
n40_29,40,1,0,1,1,0
n40_3,40,1,0,1,1,0
n40_30,40,1,0,1,1,0
n40_31,40,3,1,2,2,0
n40_32,40,13,3,6,6,0
n40_33,40,5,2,3,3,0
n40_34,40,10,4,4,4,0
n40_35,40,11,3,4,4,0
n40_36,40,3,1,2,2,0
n40_37,40,8,2,4,4,0
n40_38,40,2,1,1,1,0
n40_39,40,10,3,4,4,0
n40_4,40,5,2,2,2,0
n40_40,40,1,0,1,1,0
n40_41,40,5,2,2,2,0
n40_42,40,6,2,3,3,0
n40_43,40,1,0,1,1,0
n40_44,40,3,1,2,2,0
n40_45,40,3,1,2,2,0
n40_46,40,7,4,2,2,0
n40_47,40,3,1,2,2,0
n40_48,40,3,1,2,2,0
n40_49,40,2,1,1,1,0
n40_5,40,2,1,1,1,0
n40_50,40,2,1,1,1,0
n40_51,40,5,2,2,2,0
n40_52,40,4,3,1,1,0
n40_53,40,3,1,2,2,0
n40_54,40,19,4,3,3,0
n40_55,40,3,1,2,2,0
n40_56,40,3,1,2,2,0
n40_57,40,7,2,4,4,0
n40_58,40,1,0,1,1,0
n40_59,40,1,0,1,1,0
n40_6,40,1,0,1,1,0
n40_60,40,1,0,1,1,0
n40_61,40,2,1,1,1,0
n40_62,40,12,4,1,1,0
n40_63,40,1,0,1,1,0
n40_64,40,13,4,3,3,0
n40_65,40,1,0,1,1,0
n40_66,40,1,0,1,1,0
n40_67,40,3,2,1,1,0
n40_68,40,3,2,1,1,0
n40_69,40,3,1,2,2,0
n40_7,40,7,2,4,4,0
n40_70,40,4,2,2,2,0
n40_71,40,7,2,4,4,0
n40_72,40,3,1,2,2,0
n40_73,40,3,1,2,2,0
n40_74,40,1,0,1,1,0
n40_75,40,1,0,1,1,0
n40_76,40,3,1,2,2,0
n40_77,40,6,3,1,1,0
n40_78,40,1,0,1,1,0
n40_79,40,5,3,2,2,0
n40_8,40,11,3,4,4,0
n40_80,40,12,3,2,2,0
n40_81,40,2,1,1,1,0
n40_82,40,5,2,2,2,0
n40_83,40,2,1,1,1,0
n40_84,40,37,4,12,12,0
n40_85,40,121,6,28,28,0
n40_86,40,2,1,1,1,0
n40_87,40,13,4,4,4,0
n40_88,40,7,2,4,4,0
n40_89,40,1,0,1,1,0
n40_9,40,1,0,1,1,0
n40_90,40,2,1,1,1,0
n40_91,40,6,3,1,1,0
n40_92,40,2,1,1,1,0
n40_93,40,6,2,2,2,0
n40_94,40,2,1,1,1,0
n40_95,40,8,3,3,3,0
n40_96,40,1,0,1,1,0
n40_97,40,1,0,1,1,0
n40_98,40,7,2,3,3,0
n40_99,40,2,1,1,1,0
n5_0,5,2,1,1,1,0
n5_1,5,7,3,3,3,0
n5_10,5,1,0,1,1,0
n5_11,5,1,0,1,1,0
n5_12,5,3,1,2,2,0
n5_13,5,3,1,2,2,0
n5_14,5,2,1,1,1,0
n5_15,5,3,1,2,2,0
n5_16,5,1,0,1,1,0
n5_17,5,2,1,1,1,0
n5_18,5,2,1,1,1,0
n5_19,5,4,2,2,2,0
n5_2,5,2,1,1,1,0
n5_20,5,5,2,3,3,0
n5_21,5,2,1,1,1,0
n5_22,5,9,2,4,4,0
n5_23,5,1,0,1,1,0
n5_24,5,2,1,1,1,0
n5_25,5,1,0,1,1,0
n5_26,5,1,0,1,1,0
n5_27,5,2,1,1,1,0
n5_28,5,1,0,1,1,0
n5_29,5,3,1,2,2,0
n5_3,5,1,0,1,1,0
n5_30,5,2,1,1,1,0
n5_31,5,2,1,1,1,0
n5_32,5,2,1,1,1,0
n5_33,5,1,0,1,1,0
n5_34,5,2,1,1,1,0
n5_35,5,5,3,1,1,0
n5_36,5,1,0,1,1,0
n5_37,5,1,0,1,1,0
n5_38,5,2,1,1,1,0
n5_39,5,3,1,2,2,0
n5_4,5,2,1,1,1,0
n5_40,5,1,0,1,1,0
n5_41,5,8,2,4,4,0
n5_42,5,2,1,1,1,0
n5_43,5,7,2,3,3,0
n5_44,5,4,2,1,1,0
n5_45,5,1,0,1,1,0
n5_46,5,4,2,2,2,0
n5_47,5,4,2,2,2,0
n5_48,5,2,1,1,1,0
n5_49,5,1,0,1,1,0
n5_5,5,2,1,1,1,0
n5_50,5,1,0,1,1,0
n5_51,5,7,3,4,4,0
n5_52,5,1,0,1,1,0
n5_53,5,2,1,1,1,0
n5_54,5,1,0,1,1,0
n5_55,5,4,2,2,2,0
n5_56,5,5,2,2,2,0
n5_57,5,2,1,1,1,0
n5_58,5,2,1,1,1,0
n5_59,5,3,2,1,1,0
n5_6,5,4,2,2,2,0
n5_60,5,2,1,1,1,0
n5_61,5,2,1,1,1,0
n5_62,5,3,1,2,2,0
n5_63,5,2,1,1,1,0
n5_64,5,3,1,2,2,0
n5_65,5,3,2,1,1,0
n5_66,5,3,1,2,2,0
n5_67,5,2,1,1,1,0
n5_68,5,1,0,1,1,0
n5_69,5,2,1,1,1,0
n5_7,5,2,1,1,1,0
n5_70,5,3,1,2,2,0
n5_71,5,4,2,2,2,0
n5_72,5,1,0,1,1,0
n5_73,5,1,0,1,1,0
n5_74,5,3,1,2,2,0
n5_75,5,7,2,4,4,0
n5_76,5,1,0,1,1,0
n5_77,5,1,0,1,1,0
n5_78,5,3,1,2,2,0
n5_79,5,3,1,2,2,0
n5_8,5,3,1,2,2,0
n5_80,5,5,2,3,3,0
n5_81,5,1,0,1,1,0
n5_82,5,4,2,2,2,0
n5_83,5,1,0,1,1,0
n5_84,5,3,1,2,2,0
n5_85,5,1,0,1,1,0
n5_86,5,1,0,1,1,0
n5_87,5,1,0,1,1,0
n5_88,5,4,2,2,2,0
n5_89,5,1,0,1,1,0
n5_9,5,6,2,3,3,0
n5_90,5,3,1,2,2,0
n5_91,5,7,2,4,4,0
n5_92,5,1,0,1,1,0
n5_93,5,3,1,2,2,0
n5_94,5,7,3,2,2,0
n5_95,5,4,2,2,2,0
